date,close,open,high,low,volume,returns
2021/9/17,"3,787.70","3,768.04","3,794.98","3,740.84",51.63B,0.19%
2021/9/16,"3,780.44","3,841.01","3,854.72","3,780.06",54.62B,-1.34%
2021/9/15,"3,831.97","3,826.71","3,854.35","3,813.20",47.45B,-0.18%
2021/9/14,"3,838.70","3,888.02","3,902.94","3,831.39",56.44B,-1.42%
2021/9/13,"3,894.03","3,877.15","3,895.58","3,870.38",55.69B,0.33%
2021/9/10,"3,881.19","3,868.68","3,901.92","3,858.66",63.47B,0.27%
2021/9/9,"3,870.71","3,843.12","3,871.05","3,838.23",60.43B,0.49%
2021/9/8,"3,851.90","3,850.04","3,873.04","3,837.02",58.58B,-0.04%
2021/9/7,"3,853.39","3,795.85","3,858.99","3,788.95",54.71B,1.51%
2021/9/6,"3,796.01","3,752.28","3,800.67","3,752.28",52.13B,1.12%
2021/9/3,"3,753.95","3,776.00","3,787.75","3,741.01",61.40B,-0.43%
2021/9/2,"3,770.01","3,731.07","3,770.35","3,728.73",57.22B,0.84%
2021/9/1,"3,738.62","3,714.25","3,754.61","3,683.64",66.67B,0.65%
2021/8/31,"3,714.33","3,688.19","3,714.33","3,664.45",52.36B,0.45%
2021/8/30,"3,697.76","3,705.02","3,709.68","3,681.88",51.22B,0.17%
2021/8/27,"3,691.53","3,662.44","3,699.97","3,661.35",45.51B,0.59%
2021/8/26,"3,670.03","3,707.41","3,707.41","3,667.72",50.25B,-1.09%
2021/8/25,"3,710.64","3,687.06","3,710.65","3,678.81",44.97B,0.74%
2021/8/24,"3,683.45","3,649.64","3,692.07","3,648.45",42.99B,1.08%
2021/8/23,"3,644.25","3,601.96","3,648.59","3,601.80",38.44B,1.45%
2021/8/20,"3,592.03","3,607.94","3,619.13","3,558.09",39.08B,-1.10%
2021/8/19,"3,632.14","3,642.33","3,647.78","3,611.64",38.21B,-0.57%
2021/8/18,"3,652.81","3,607.79","3,655.09","3,602.88",38.89B,1.11%
2021/8/17,"3,612.65","3,680.94","3,701.53","3,603.37",42.25B,-2.00%
2021/8/16,"3,686.44","3,683.29","3,707.94","3,679.67",39.07B,0.03%
2021/8/13,"3,685.34","3,683.44","3,710.29","3,669.08",37.78B,-0.24%
2021/8/12,"3,694.23","3,692.11","3,708.56","3,682.38",38.07B,-0.22%
2021/8/11,"3,702.51","3,696.72","3,714.55","3,693.52",38.34B,0.08%
2021/8/10,"3,699.68","3,656.39","3,699.68","3,644.19",34.48B,1.01%
2021/8/9,"3,662.65","3,607.19","3,671.27","3,603.99",34.96B,1.05%
2021/8/6,"3,624.48","3,632.12","3,633.06","3,602.13",33.66B,-0.24%
2021/8/5,"3,633.24","3,628.16","3,653.81","3,615.21",34.82B,-0.31%
2021/8/4,"3,644.44","3,608.51","3,644.84","3,606.25",34.85B,0.85%
2021/8/3,"3,613.82","3,612.54","3,637.59","3,600.65",40.04B,-0.47%
2021/8/2,"3,630.92","3,548.50","3,630.92","3,529.54",43.26B,1.97%
